ProjectID,ProjectName,Department,Manager,TaskName,TaskStatus,Priority,RiskLevel,EstimatedHours,ActualHours,EstimatedCost,ActualCost,StartDate,EndDate
P016,Social Media Analytics,Marketing,Sarah Clark,Analytics Setup,Completed,Medium,Low,20,19,2500,2300,2024-01-10,2024-01-30
P016,Social Media Analytics,Marketing,Sarah Clark,Content Tracking,In Progress,Medium,Medium,35,20,4500,2800,2024-02-01,2024-03-01
P016,Social Media Analytics,Marketing,Sarah Clark,User Insights Study,Not Started,High,High,40,0,5000,0,2024-03-02,2024-04-10
P017,Sales Forecasting AI,Sales,Mark Davis,Data Preparation,Completed,High,Medium,30,28,4000,3800,2024-01-07,2024-01-30
P017,Sales Forecasting AI,Sales,Mark Davis,Model Training,In Progress,High,High,55,40,8000,6500,2024-02-01,2024-03-20
P017,Sales Forecasting AI,Sales,Mark Davis,Dashboard Development,Not Started,Medium,Low,30,0,3500,0,2024-03-21,2024-04-30
P018,Warehouse Automation,Operations,Steven Hall,Conveyor Setup,Completed,High,High,60,57,10000,9500,2024-01-05,2024-02-20
P018,Warehouse Automation,Operations,Steven Hall,Robot Setup,In Progress,High,High,70,52,15000,11500,2024-02-21,2024-04-10
P018,Warehouse Automation,Operations,Steven Hall,System Testing,Not Started,Medium,Medium,40,0,5000,0,2024-04-11,2024-05-15
P019,Email Marketing Automation,Marketing,James Wright,Template Design,Completed,Low,Low,15,13,1800,1700,2024-01-09,2024-01-25
P019,Email Marketing Automation,Marketing,James Wright,Segmentation Setup,In Progress,Medium,Medium,25,15,2500,1800,2024-01-26,2024-02-15
P019,Email Marketing Automation,Marketing,James Wright,Campaign Launch,Not Started,High,High,30,0,3500,0,2024-02-16,2024-03-10
P020,Document Management System,HR,Emily White,Requirement Gathering,Completed,Low,Low,18,16,2000,1800,2024-01-08,2024-01-25
P020,Document Management System,HR,Emily White,System Design,In Progress,Medium,Medium,30,20,3500,2500,2024-01-26,2024-02-20
P020,Document Management System,HR,Emily White,User Training,Not Started,Low,Low,20,0,2000,0,2024-02-21,2024-03-10
